2019	7478168	380				0	0	138	141				2	141	144					1	144		Yes			1
2018	6165619	389	Yes			1	1	135	138	141	141	142	5	142	130	163				2	163	Yes				1
2017	7226757	406	Yes			1	1	134	135	139	141		4	141	101	113	125	106		4	106	Yes				3
2019	7532507	406				0	0	141					1	141	156					1	156		Yes			2
2019	7530766	406	Yes			1	1	141					1	141	120	159				2	159		Yes			3
2019	7472179	406				0	0	142	141				2	141	144					1	144		Yes			2
2019	7531723	406	Yes			1	1	141	142				2	142						0	No Values					3
2017	7181167	408				0	0	135	136	135			3	135	157					1	157		Yes			1
2019	7540268	410				0	0	141	142				2	142	147					1	147		Yes			3
2019	7457249	410				0	0	141	142				2	142	162					1	162		Yes			3
2019	7505070	410				0	0	141	135				2	135						0	No Values					3
2017	7502044	411	Yes	Yes	Yes	3	1	136	139	138	141		4	141	134	135	134	130	141	5	141	Yes				1
2017	6168129	414				0	0	135					1	135	126	130	143			3	143		Yes			1
2018	7067502	415				0	0	139	141				2	141	145					1	145		Yes			1
2017	7476946	416				0	0	135					1	135	161					1	161		Yes			2
2017	7070660	416				0	0	136	139	138			3	138	149					1	149		Yes			2
2017	6106526	418				0	0	135					1	135	154					1	154		Yes			1
2017	7468006	419				0	0	136	135				2	135	130	136	156	136	Pass	5	Pass		Yes			1
2018	7387624	419	Yes	Yes		2	1	138	141				2	141	132	134	156			3	156		Yes			1
2019	7575033	421				0	0	141					1	141	174					1	174		Yes			1
2019	7486547	423				0	0	141	139				2	139	170					1	170					1
2018	7457272	432				0	0	139					1	139	149					1	149		Yes			1
2018	7064617	434				0	0	139	138				2	138	121	148				2	148					1
2019	7618859	435				0	0	138					1	138	151					1	151		Yes			1
2017	7498955	436				0	0	135	136	135			3	135	162					1	162		Yes			3
2017	7409076	436				0	0	139					1	139	141	158				2	158					3
2019	7419431	436				0	0	141	142				2	142	147					1	147		Yes			3
2017	7519838	439				0	0	135					1	135	149					1	149					2
2019	7521303	439				0	0	138					1	138	170					1	170		Yes			2
2017	7050231	440				0	0	134	135				2	135	158					1	158					1
2017	7096319	443				0	0	134	135	139			3	139	134	152				2	152					2
2019	7570882	443				0	0	141	142	142			3	142	172					1	172		Yes			2
2017	7085733	444				0	0	136	135	135			3	135	148					1	148		Yes			1
2017	7452785	445				0	0	135	135	139			3	139	174					1	174					1
2017	7459634	448				0	0	136	135	135			3	135	156					1	156		Yes			3
2018	7488923	448				0	0	138					1	138	163					1	163					3
2018	7524879	448	Yes			1	1	141					1	141	168					1	168		Yes			1
2019	7589964	448				0	0	141					1	141	142					1	142		Yes			3
2017	7491050	449				0	0	135					1	135	190					1	190					2
2019	7563257	449				0	0	141	141				2	141	168					1	168		Yes			2
2018	7005098	450				0	0	138	141	141			3	141	158					1	158					1
2017	7491055	452				0	0	136	135				2	135	171					1	171		Yes			3
2019	7559146	452				0	0	135					1	135	168					1	168		Yes			3
2019	7522190	452				0	0	141	141				2	141	156					1	156		Yes			3
2018	7541799	453				0	0	136					1	136	127	138	146			3	146					1
2019	7583933	454				0	0	138					1	138	151					1	151		Yes			1
2019	7068155	455				0	0	141	142				2	142	142					1	142		Yes			1
2017	7493135	456				0	0	135					1	135	81					1	81		Yes			1
2019	7509278	457				0	0	142	142	141			3	141	176					1	176		Yes			1
2019	7559142	458				0	0	141					1	141	176					1	176		Yes			1
2017	7115616	459				0	0	135					1	135	71					1	71		Yes			1
2018	7522484	460				0	0	138	141	141			3	141	146	139				2	139					1
2018	7453188	461				0	0	135					1	135	176					1	176		Yes			3
2018	7088020	461				0	0	141	139				2	139						0	No Values					3
2018	6099161	461				0	0	139					1	139						0	No Values					3
2019	7571237	461	Yes			1	1	138					1	138	124	143				2	143		Yes			1
2017	7447629	463				0	0	135					1	135	162					1	162					3
2017	7265268	463				0	0	139					1	139	161					1	161					3
2018	7554759	463				0	0	139	141	135			3	135	163					1	163					3
2017	7489905	465				0	0	135	135				2	135	161					1	161		Yes			4
2018	6115142	465				0	0	138					1	138	144					1	144		Yes			4
2019	7500182	465				0	0	141					1	141	143					1	143		Yes			4
2019	7537443	465				0	0	141					1	141	153					1	153					4
2017	7458649	466				0	0	134	135				2	135	91					1	91		Yes			1
2017	7076132	467	Yes	Yes		2	1	135	141				2	141	122	161				2	161		Yes			1
2017	7454824	468				0	0	138	141	141	142		4	142	170					1	170					2
2019	7572233	468				0	0	141					1	141	159					1	159		Yes			2
2017	7200214	469				0	0	135	136	141			3	141	128	154				2	154					1
2018	7095811	471	Yes	Yes		2	1	139	138				2	138	131	137	151	135		4	135		Yes			1
2018	7553674	472				0	0	138					1	138	148					1	148					2
2019	7583877	472				0	0	138					1	138	149					1	149		Yes			2
2018	7032756	473				0	0	135					1	135	101	150	127			3	127					2
2019	7486534	473				0	0	141	141				2	141	156					1	156					2
2017	7457223	474				0	0	135					1	135	142	142	154			3	154					1
2017	7084405	476				0	0	135					1	135	169					1	169		Yes			1
2018	7488329	477				0	0	135					1	135	167					1	167					1
2019	7558870	478				0	0	141					1	141	159					1	159		Yes			2
2019	7456512	478				0	0	138					1	138	164					1	164		Yes			2
2018	7558739	479				0	0	139					1	139	157					1	157					1
2017	7404638	480				0	0	134					1	134	144					1	144		Yes			2
2017	7490019	480				0	0	135					1	135	67	173				2	173		Yes			2
2018	7493155	482				0	0	139					1	139	152					1	152					1
2019	7565062	482	Yes			1	1	141					1	141	133	142				2	142		Yes			1
2017	7083342	483				0	0	135					1	135	79					1	79		Yes			4
2018	7495020	483				0	0	139					1	139	188					1	188					4
2019	7644780	483				0	0	138					1	138	151					1	151		Yes			4
2019	7565945	483				0	0	139					1	139	149					1	149		Yes			4
2018	7528868	486				0	0	141					1	141	172					1	172					3
2019	7524795	486				0	0	138					1	138	168					1	168		Yes			3
2019	7547712	486				0	0	138					1	138	178					1	178		Yes			3
2017	7457216	487				0	0						0	No Values						0	No Values					3
2017	7490051	487				0	0	135					1	135	172					1	172					3
2019	7563659	487				0	0	141					1	141	160					1	160		Yes			3
2017	7493287	488				0	0	134					1	134	78					1	78		Yes			2
2018	6093308	488				0	0	138					1	138	160					1	160		Yes			2
2018	7492147	489	Yes			1	1	139	141				2	141	141					1	141				Resigned	1
2018	7047211	489				0	0	139					1	139						0	No Values					2
2019	7561620	489				0	0	141					1	141	184					1	184		Yes			2
2018	7516610	490				0	0	139					1	139	165					1	165					2
2019	7630084	490				0	0	139					1	139						0	No Values					2
2017	7080512	492				0	0	139					1	139	70	87				2	87		Yes			2
2018	7457206	492				0	0	141					1	141	167					1	167					2
2018	7526077	493				0	0	139					1	139	137	158				2	158					2
2018	7491065	493				0	0	139					1	139	171					1	171					2
2019	7519304	493	Yes			1	1	139					1	139						0	No Values					1
2017	7493679	495				0	0	136					1	136	83					1	83		Yes			2
2018	7493193	495				0	0	139					1	139	153					1	153					2
2017	7265469	496				0	0	136					1	136	95					1	95		Yes			3
2018	7284321	496				0	0	139					1	139	177					1	177		Yes			3
2018	7148968	496				0	0	135	141				2	141	168					1	168		Yes			3
2018	7456334	497				0	0	135					1	135	174					1	174					2
2018	7495198	497				0	0	136					1	136	142	136	161			3	161					2
2019	7125901	497	Yes			1	1	141	135				2	135	126	143				2	143		Yes			1
2017	6068782	499				0	0	134	135				2	135	137	145				2	145					2
2019	7458471	499				0	0	141					1	141	162					1	162		Yes			2
2018	7494997	501	Yes	Yes		2	1	139	141	141	142	141	5	141	144					1	144		Yes			1
2019	7571756	501				0	0	141					1	141	156					1	156		Yes			1
2017	7493320	502				0	0	141					1	141						0	No Values					1
2017	7493236	504				0	0	134					1	134	174					1	174					2
2018	7581504	504				0	0	135					1	135	163					1	163					2
2018	7519513	505				0	0	135					1	135	170					1	170					3
2019	7559087	505				0	0	138					1	138	138	170				2	170		Yes			3
2019	7524894	505				0	0	141					1	141	163					1	163		Yes			3
2017	7404881	506				0	0	135					1	135	210					1	210		Yes			1
2017	7457203	507				0	0	135					1	135	92					1	92		Yes			3
2019	7558321	507				0	0	142					1	142	184					1	184		Yes			3
2019	7554399	507				0	0	135	142	142			3	142	174					1	174		Yes			3
2019	7559525	508				0	0	138					1	138	145					1	145		Yes			1
2018	7451624	509				0	0	138					1	138	152					1	152					2
2019	7558992	509				0	0	138					1	138	159					1	159		Yes			2
2018	7457362	510				0	0	135					1	135	165					1	165		Yes			3
