2021 - R1	7609368	404	400
2022 - R1	7521645	445	450
2021 - R1	7719292	409	410
2022 - R2	7806508	466	470
2022 - R1	7675250	461	460
0	7746942		0
2021 - R1	7686824	437	440
2021 - R1	7672128	470	470
2022 - R2	4754293	468	470
2021 - R1	7149190	463	460
2021 - R1	7671497	423	420
2022 - R1	7749993	475	480
2022 - R1	7695594	407	410
1	7082584		0
2021 - R1	7217937	446	450
2022 - R1	7177596	467	470
2021 - R1	7555520	479	480
2021 - R1	7709753	473	470
2021 - R1	7652936	432	430
1	7715035		0
2022 - R1	7681065	477	480
2022 - A1	7693540		0
2021 - R1	7674920	437	440
2021 - R1	7665447	439	440
2021 - R1	7561586	469	470
2021 - R1	7607456	450	450
2022 - R1	7692618	474	470
2022 - A1	7461619	457	460
2021 - R1	7614969	461	460
2022 - A1	6157287	399	400
1	7573984		0
2019 - R2	7119877		0
2021 - R1	7665274	458	460
2021 - R1	7595621	444	440
2022 - R1	7719674	432	430
2021 - R1	7303709	461	460
2021 - R1	7684897	432	430
2022 - R1	7789567	469	470
1	7537812		0
2022 - R1	7703204	463	460
1	7522249	479	480
2022 - R1	7795295	416	420
1	7611040		0
2021 - R1	7635931	444	440
2022 - R1	7476024	478	480
1	7484350		0
2021 - R1	7559400	456	460
2021 - R1	7576960	391	390
2022 - C1	7524709	450	450
1	7524711		0
1	7439976		0
1	7600220		0
2021 - R1	7662204	470	470
1	7046061		0
1	7594508		0
2021 - R1	7645679	458	460
2022 - R2	7572846	451	450
2021 - R1	7779357	434	430
2021 - R1	7732404	444	440
2022 - R1	7660662	446	450
2022 - R1	7723100	447	450
2021 - R1	7599000	470	470
2021 - R1	7619176	462	460
2021 - R1	7604226	457	460
2022 - R1	7578013	417	420
2022 - R1	7465680	419	420
1	7477308		0
2022 - R1	7696178	467	470
2021 - R1	7559577	449	450
2022 - R1	7607517	444	440
2022 - H1	7705284	465	470
2022 - R1	7750577	433	430
2022 - R1	7620276	460	460
1	7490606		0
1	7455823		0
2021 - R1	7593149	447	450
1	7799587		0
2021 - R1	7693122	446	450
2021 - R1	7555319	405	410
2020 - R1	7561191		0
2022 - R1	7672176	475	480
2022 - R1	7675550	451	450
2021 - R1	7688245	459	460
2022 - K1	7690898	458	460
2022 - R1	7652659	470	470
2022 - R1	7656455	454	450
2021 - R1	7675217	459	460
2021 - R1	7502718	442	440
1	7455833	444	440
2022 - K1	7540249		0
2022 - R1	7653061	477	480
2022-R2	7638317	473	470
2021 - R1	7690195	473	470
2021 - R1	7684571	457	460
2022 - R1	7356318	421	420
2022 - R1	7585042	438	440
2021 - R1	7623356	455	460
2022 - R1	7734833	474	470
1	7455655	474	470
2022 - R1	7089704	457	460
2021 - R1	7738293	468	470
2021 - R1	7160672	450	450
2021 - R1	7608865	462	460
2021 - R1	7626348	393	390
2021 - R1	7555784	471	470
2021 - R1	7665118	416	420
2021 - R1	7594671	476	480
1	7505586	458	460
2022 - R1	7747712	473	470
2021 - R1	7611524	415	420
2021 - R1	7546972	462	460
2022 - R1	7674079	421	420
2022 - R1	7793592	477	480
2022 - R1	7705137	478	480
2019 - R1	7537925		0
2021 - R1	7631467	454	450
2019 - R1	7531203		0
2022 - R1	7639085	464	460
2021 - R1	7676463	463	460
2021 - R1	7629483	434	430
2022 - R1	7650453	472	470
2021 - R1	7762635	441	440
2021 - R1	7597367	451	450
1	7636091		0
2021 - R1	7668635	475	480
2022 - P1	7470407	414	410
1	7493249		0
2021 - R1	7625232	439	440
2022 - R2	7690572	459	460
2022 - R1	7702148	402	400
1	7020657		0
1	6131487		0
2021 - R1	7500466	457	460
1	7517300		0
2022 - R1	7621479	442	440
1	7499253	476	480
2022 - R1	7625224	434	430
1	7577740		0
2022 - R1	7664934	459	460
2021 - R1	7650995	437	440
2019 - R1	6093232		0
2022 - S1	7566169	411	410
2021 - R1	7111974	462	460
1	7685470		0
2021 - R1	7647734	392	390
1	6058110		0
2021 - R1	6105823	404	400
2022 - R1	7693695	417	420
2022 - R1	7332460	479	480
2022 - S1	7627917	478	480
2022 - R1	7513605	439	440
2019 - R1	7486612		0
2022 - R1	7414008	460	460
2022 - R1	7778576	442	440
2021 - R1	7626886	433	430
1	7558871		0
2022 - T1	7491070	456	460
1	7621680		0
2021 - R1	7545925	459	460
1	7693956	413	410
2022-R2	7627453	465	470
2019 - R1	7455970		0
1	7134823		0
2021 - R1	7674742	446	450
